inspection_id,query_index,query_image_id,query_category,classification,primary_root_cause,secondary_root_causes,notes
"vf001","3","DS1_IMG_004344","Bracelet","no_relevant_in_top10","insufficient_gallery_match","viewpoint|fine_grained_design|category_confusion","different category "
"vf002","4","DS1_IMG_004347","Bracelet","relevant_only_in_ranks_6_to_10","insufficient_gallery_match","viewpoint|illumination|category_confusion","different category"
"vf003","6","DS1_IMG_004358","Bracelet","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|fine_grained_design","different category"
"vf004","7","DS1_IMG_004359","Bracelet","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|fine_grained_design","different category"
"vf005","9","DS1_IMG_004368","Bracelet","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|fine_grained_design|category_confusion","different category"
"vf006","12","DS1_IMG_004378","Bracelet","relevant_only_in_ranks_6_to_10","insufficient_gallery_match","viewpoint|illumination|fine_grained_design|category_confusion","different category"
"vf007","14","DS1_IMG_004384","Bracelet","relevant_in_top5_but_not_top1","fine_grained_design","viewpoint|illumination|crop_scale|category_confusion","different category"
"vf008","17","DS1_IMG_004389","Bracelet","relevant_in_top5_but_not_top1","category_confusion","viewpoint|illumination|insufficient_gallery_match","different category"
"vf009","19","DS1_IMG_004394","Bracelet","relevant_at_top1_only_or_sparse","category_confusion","viewpoint|illumination|insufficient_gallery_match","different category"
"vf010","20","DS1_IMG_004400","Bracelet","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|crop_scale","different category"
"vf011","24","DS1_IMG_004415","Earrings","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|category_confusion","different category"
"vf012","27","DS1_IMG_004426","Earrings","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|category_confusion","different category"
"vf013","29","DS1_IMG_004442","Earrings","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|fine_grained_design|category_confusion","different category"
"vf014","31","DS1_IMG_004447","Earrings","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|fine_grained_design|category_confusion","different category"
"vf015","32","DS1_IMG_004448","Earrings","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|fine_grained_design|category_confusion","different category"
"vf016","34","DS1_IMG_004453","Earrings","relevant_at_top1_only_or_sparse","insufficient_gallery_match","viewpoint|illumination|fine_grained_design|category_confusion","different category"
"vf017","35","DS1_IMG_004460","Earrings","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|category_confusion","different category"
"vf018","36","DS1_IMG_004469","Earrings","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|fine_grained_design|category_confusion","different category"
"vf019","38","DS1_IMG_004473","Earrings","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|fine_grained_design","different category"
"vf020","39","DS1_IMG_004474","Earrings","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|fine_grained_design","different category"
"vf021","42","DS1_IMG_004511","Necklace","relevant_in_top5_but_not_top1","viewpoint","illumination|category_confusion",""
"vf022","45","DS1_IMG_004555","Necklace","relevant_in_top5_but_not_top1","category_confusion","viewpoint|illumination|crop_scale|background|composition|fine_grained_design|insufficient_gallery_match","different category"
"vf023","47","DS1_IMG_004567","Necklace","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|category_confusion","different category"
"vf024","48","DS1_IMG_004569","Necklace","no_relevant_in_top10","category_confusion","viewpoint|illumination|crop_scale|background|composition|fine_grained_design","different category"
"vf025","50","DS1_IMG_004578","Necklace","relevant_at_top1_only_or_sparse","crop_scale","fine_grained_design|category_confusion",""
"vf026","53","DS1_IMG_004588","Necklace","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|category_confusion","different category"
"vf027","54","DS1_IMG_004624","Necklace","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|fine_grained_design|category_confusion","different category"
