annotation_id,query_index,query_image_id,query_category,query_image_path,rank,product_id,candidate_category,similarity,candidate_image_id,candidate_image_path,relevance,notes
q001_r01,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,1,IMG_3525_becb64af,Necklace,0.9992839097976685,DS1_IMG_003191,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_3525_becb64af_JPG.rf.221a1dca2597cb699a28d80ed81838e0.jpg,,
q001_r02,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,2,IMG_2926_bb65e3e0,Pendant,0.9989158511161804,DS1_IMG_003926,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\IMG_2926_bb65e3e0_jpg.rf.566265055ebfe0a9a61dc368fadc462d.jpg,,
q001_r03,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,3,IMG_0595-Copy_1be1bec8,Necklace,0.99737548828125,DS1_IMG_002002,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0595-Copy_1be1bec8_jpg.rf.2e87c02146be07bdb6d6225f95547526.jpg,,
q001_r04,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,4,IMG_2836_db94d1e7,Pendant,0.9968556761741638,DS1_IMG_003854,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\IMG_2836_db94d1e7_jpg.rf.a2f169c0ed4f78e2df2586ca210da7a5.jpg,,
q001_r05,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,5,IMG_0552-1-_09b51294,Necklace,0.9966222047805786,DS1_IMG_001904,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0552-1-_09b51294_jpg.rf.0ad17ce1c6c34e359251a79d5181d3ba.jpg,,
q001_r06,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,6,IMG_0529_c0e7d577,Necklace,0.9965677261352539,DS1_IMG_001867,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0529_c0e7d577_jpg.rf.fb7a40c4b8ada606a2e7cacd3e7c29a7.jpg,,
q001_r07,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,7,IMG_2832_2b04c8e3,Necklace,0.9959448575973511,DS1_IMG_002928,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2832_2b04c8e3_jpg.rf.82ee99af83733b08a347b2b2566bfc85.jpg,,
q001_r08,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,8,necklace_20241125_122545_00801018,Pendant,0.9958124160766602,DS1_IMG_003959,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\necklace_20241125_122545_00801018_jpg.rf.6bd035c9cb23bae2e02135591736c4ed.jpg,,
q001_r09,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,9,IMG_0588-Copy_27548d5c,Necklace,0.9951459765434265,DS1_IMG_001982,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0588-Copy_27548d5c_jpg.rf.341016e7648714c058e185bec8b311b7.jpg,,
q001_r10,1,DS1_IMG_004336,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1365_0ce861bf_JPG.rf.064aa19fe402b6aded03e1e43a6edcbd.jpg,10,IMG_0528-1-_08d6a9f7,Necklace,0.9940723776817322,DS1_IMG_001862,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0528-1-_08d6a9f7_JPG.rf.5b7d732642d02a34fc49e41747e5af66.jpg,,
q002_r01,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,1,IMG_0863_4e8ef7be,Pendant,0.998833954334259,DS1_IMG_003745,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\IMG_0863_4e8ef7be_JPG.rf.fd511e60a6967df3d17a94479dfa1461.jpg,,
q002_r02,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,2,IMG_0442_7e7a3b25,Necklace,0.9968183040618896,DS1_IMG_001738,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0442_7e7a3b25_jpg.rf.77aecf732a209222c84c49cf35feb533.jpg,,
q002_r03,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,3,IMG_0425-1-_0d7c9614,Bracelet,0.9960359334945679,DS1_IMG_000006,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Bracelet\IMG_0425-1-_0d7c9614_JPG.rf.c42d5d7d59a537db056379d5ee4475cb.jpg,,
q002_r04,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,4,IMG_1391_ed1c97e8,Bracelet,0.9958006739616394,DS1_IMG_000096,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Bracelet\IMG_1391_ed1c97e8_JPG.rf.250609ca47a293b1832b38a853a2cba6.jpg,,
q002_r05,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,5,IMG_0822_795188d3,Bracelet,0.9955440759658813,DS1_IMG_000049,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Bracelet\IMG_0822_795188d3_JPG.rf.294bc8abfa94c9b7674beb519d35683a.jpg,,
q002_r06,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,6,IMG_0509_ce16adf3,Necklace,0.9946316480636597,DS1_IMG_001812,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0509_ce16adf3_jpg.rf.4b521da1495aa76268e3faf9d6b619b3.jpg,,
q002_r07,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,7,necklace_20241125_122545_c1c14163,Necklace,0.9932860136032104,DS1_IMG_003603,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\necklace_20241125_122545_c1c14163_jpg.rf.77b137738015d0fa4e3787d1032ae42d.jpg,,
q002_r08,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,8,necklace_20241125_122545_94000018,Pendant,0.9927114248275757,DS1_IMG_003997,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\necklace_20241125_122545_94000018_jpg.rf.cd8a39e66db45f62ff6cfcc2cc4ac450.jpg,,
